Date_Time,KSJC,KNUQ
2017-01-02 22:55:00,87.28,81.48
2017-01-02 23:00:00,87.28,81.48
2017-01-02 23:05:00,87.28,81.48
2017-01-02 23:10:00,87.28,81.48
2017-01-02 23:15:00,,
2017-01-02 23:20:00,87.28,81.48
2017-01-02 23:25:00,87.28,81.48
2017-01-02 23:30:00,87.28,81.48
2017-01-02 23:35:00,81.48,81.48
2017-01-02 23:40:00,87.28,81.48
2017-01-02 23:45:00,87.28,81.48
2017-01-02 23:50:00,87.28,81.48
2017-01-02 23:53:00,83.23,
2017-01-02 23:55:00,87.28,81.48
2017-01-03 00:00:00,87.28,81.48
2017-01-03 00:05:00,87.28,81.48
2017-01-03 00:06:00,83.23,
2017-01-03 00:10:00,87.28,81.48
2017-01-03 00:15:00,87.28,87.28
2017-01-03 00:19:00,87.28,
2017-01-03 00:20:00,87.28,87.28
2017-01-03 00:25:00,87.28,87.28
2017-01-03 00:30:00,87.28,87.28
2017-01-03 00:35:00,87.28,87.28
2017-01-03 00:40:00,87.28,87.28
2017-01-03 00:45:00,87.28,87.28
2017-01-03 00:50:00,87.28,87.28
2017-01-03 00:53:00,87.28,
2017-01-03 00:55:00,87.28,87.28
2017-01-03 01:00:00,87.28,87.28
2017-01-03 01:05:00,87.28,87.28
2017-01-03 01:10:00,87.28,87.28
2017-01-03 01:15:00,87.28,87.28
2017-01-03 01:20:00,87.28,87.28
2017-01-03 01:25:00,87.28,87.28
2017-01-03 01:30:00,87.28,87.28
2017-01-03 01:35:00,87.28,87.28
2017-01-03 01:40:00,87.28,87.28
2017-01-03 01:45:00,87.28,87.28
2017-01-03 01:50:00,87.28,87.28
2017-01-03 01:53:00,87.28,
2017-01-03 01:55:00,87.28,87.28
2017-01-03 02:00:00,87.28,87.28
2017-01-03 02:05:00,87.28,87.28
2017-01-03 02:10:00,87.28,87.28
2017-01-03 02:15:00,87.28,87.28
2017-01-03 02:20:00,87.28,87.28
2017-01-03 02:25:00,87.28,87.28
2017-01-03 02:30:00,87.28,87.28
2017-01-03 02:35:00,87.28,87.28
2017-01-03 02:40:00,87.28,87.28
2017-01-03 02:45:00,87.28,87.28
2017-01-03 02:50:00,87.28,87.28
2017-01-03 02:53:00,87.28,
2017-01-03 02:55:00,87.28,87.28
2017-01-03 03:00:00,87.28,87.28
2017-01-03 03:05:00,87.28,87.28
2017-01-03 03:10:00,87.28,87.28
2017-01-03 03:15:00,,
